H850,H500
1463.25,5854.5
1458.5,5844.75
1460.0,5848.25
1472.75,5865.5
1477.75,5866.5
1467.0,5855.75
1458.5,5848.0
1471.25,5860.75
1474.25,5865.5
1474.5,5861.25
1458.25,5859.75
1462.25,5864.5
1469.0,5877.75
1475.25,5886.25
1475.25,5875.25
1478.75,5863.5
1483.0,5856.5
1483.25,5858.25
1482.5,5859.75
1491.0,5868.25
1482.25,5865.75
1479.25,5879.75
1507.25,5898.0
1506.5,5898.0
1492.5,5876.75
1479.5,5863.75
1475.5,5858.0
1493.0,5869.25
1498.25,5869.5
1501.75,5872.25
1509.0,5884.75
1513.75,5887.25
1512.75,5885.25
1506.5,5873.25
1487.25,5856.75
1474.5,5851.25
1483.25,5864.25
1499.5,5878.5
1503.75,5870.5
1504.5,5873.0
1512.5,5862.75
1521.75,5875.0
1515.25,5874.5
1508.75,5874.0
1523.75,5881.25
1544.25,5902.25
1548.0,5899.0
1534.75,5889.25
1539.5,5890.5
1529.75,5881.75
1513.0,5857.0
1504.75,5855.25
1515.5,5869.25
1528.25,5878.0
1537.75,5884.0
1535.0,5882.0
1537.75,5890.5
1538.5,5891.5
1533.25,5888.5
1529.75,5883.0
1525.5,5878.0
1514.25,5864.75
1515.0,5853.5
1497.25,5839.0
1495.25,5832.75
1519.0,5869.75
1533.5,5884.0
1523.25,5867.25
1499.75,5835.75
1496.75,5837.25
1514.0,5862.5
1533.5,5894.0
1530.0,5891.0
1528.0,5889.5
1543.5,5887.5
1549.25,5879.25
1559.25,5881.75
1544.0,5859.0
1523.0,5820.0
1502.25,5785.0
1526.25,5807.25
1539.0,5811.5
1542.0,5814.5
1562.5,5816.0
1549.25,5813.0
1522.5,5798.5
1508.25,5806.25
1515.25,5825.25
1512.5,5818.75
1519.25,5815.0
1536.25,5838.0
1542.25,5852.75
1544.25,5862.5
1543.25,5869.25
1520.25,5858.25
1513.25,5872.5
1524.0,5868.0
1524.5,5848.75
1521.5,5816.5
1516.0,5815.0
1508.0,5802.5
1509.0,5790.25
1517.25,5771.75
1517.0,5784.75
1511.5,5797.75
1515.5,5810.25
1523.25,5827.0
1508.75,5826.75
1511.75,5827.75
1527.25,5827.75
1539.0,5825.5
1543.0,5845.5
1545.5,5849.25
1522.25,5856.5
1489.75,5839.5
1542.75,5837.5
1562.75,5841.5
1566.75,5847.0
1540.75,5833.0
1532.0,5825.75
1558.0,5797.5
1556.0,5776.75
1552.5,5776.5
1564.5,5796.25
1561.0,5802.5
1541.25,5806.75
1519.25,5794.25
1495.5,5785.25
1512.25,5792.75
1549.25,5774.0
1552.0,5739.25
1530.0,5757.75
1528.0,5827.5
1496.0,5842.5
1487.5,5802.75
1496.25,5767.5
1510.5,5774.0
1514.5,5757.25
1516.75,5750.75
1526.25,5750.25
1518.25,5733.25
1516.5,5741.75
1518.75,5748.25
1518.0,5773.75
1523.0,5819.0
1537.0,5817.75
1543.5,5823.5
1532.25,5822.5
1532.5,5808.25
1524.75,5785.0
1528.25,5829.25
1535.25,5836.75
1534.0,5825.5
1526.5,5811.75
1553.0,5797.75
1552.0,5765.75
1583.25,5749.0
1575.25,5747.25
1569.5,5788.75
1555.0,5799.0
1557.0,5815.5
1549.25,5802.5
1535.5,5767.5
1511.25,5780.5
1488.25,5754.75
1483.25,5747.75
1481.25,5750.25
1486.25,5758.25
1515.0,5779.0
1512.5,5775.0
1510.0,5760.0
1502.0,5759.25
1512.0,5783.5
1521.25,5792.25
1518.25,5785.75
1513.0,5798.25
1506.0,5783.25
1508.0,5771.0
1497.0,5750.5
1510.5,5778.0
1504.5,5789.75
1480.25,5770.25
1492.25,5762.75
1495.25,5771.25
1501.25,5788.0
1498.0,5771.75
1512.25,5765.75
1517.5,5780.5
1522.75,5785.5
1534.75,5796.5
1530.0,5781.0
1519.75,5778.25
1520.0,5776.5
1519.25,5775.0
1513.5,5741.75
1518.75,5756.75
1510.0,5797.5
1526.5,5815.25
1555.0,5823.75
1535.75,5798.75
1526.75,5778.25
1520.5,5779.5
1506.5,5790.5
1511.5,5813.25
1503.5,5813.5
1480.75,5805.75
1497.25,5799.25
1514.25,5796.0
1495.0,5799.5
1499.25,5786.25
1527.25,5800.75
1534.75,5800.0
1505.75,5794.0
1500.5,5783.5
1489.25,5814.25
1490.25,5825.25
1487.75,5798.5
1486.0,5802.25
1488.5,5774.75
1495.75,5784.25
1475.0,5773.75
1476.75,5774.25
1485.75,5800.5
1492.25,5818.0
1506.75,5816.0
1507.75,5819.5
1505.5,5826.25
1502.75,5815.75
1486.75,5813.5
1491.0,5819.25
1480.0,5800.25
1477.0,5788.0
1467.0,5789.75
1461.0,5793.75
1470.75,5803.5
1472.0,5828.5
1483.0,5833.0
1486.0,5825.0
1462.75,5795.5
1469.25,5832.25
1493.75,5863.25
1497.5,5865.0
1487.25,5880.75
1499.5,5906.25
1509.0,5905.0
1504.75,5884.25
1489.25,5836.5
1475.5,5803.75
1475.75,5801.75
1500.25,5824.0
1506.5,5846.5
1519.5,5856.25
1497.25,5849.25
1505.5,5858.5
1514.25,5851.0
1494.0,5822.25
1502.0,5823.5
1517.75,5850.25
1513.0,5852.75
1513.0,5851.5
1503.75,5852.5
1507.75,5861.75
1505.5,5858.0
1502.5,5859.5
1486.25,5848.25
1474.25,5845.25
1463.75,5848.25
1463.5,5852.0
1466.25,5857.0
1466.75,5843.5
1503.25,5862.75
1514.5,5876.0
1508.5,5874.75
1490.0,5861.5
1451.75,5833.0
1434.25,5823.25
1453.75,5852.5
1454.5,5854.0
1437.75,5847.75
1436.25,5846.0
1464.5,5873.0
1485.75,5880.75
1482.5,5868.5
1458.5,5854.5
1445.75,5845.75
1456.25,5862.75
1476.0,5885.5
1463.75,5879.75
1455.25,5874.5
1460.5,5870.25
1449.25,5861.75
1458.5,5853.75
1466.5,5845.25
1480.0,5857.75
1486.75,5869.25
1476.0,5869.5
1461.5,5854.75
1479.5,5874.25
1498.5,5886.75
1508.0,5897.75
1494.75,5899.0
1482.0,5893.0
1472.75,5881.5
1459.75,5868.5
1446.0,5855.75
1447.25,5857.5
1456.75,5878.25
1453.25,5872.25
1457.75,5862.5
1474.0,5865.5
1483.0,5881.25
1482.5,5886.0
1460.75,5870.75
1452.25,5856.5
1448.75,5870.5
1467.5,5882.75
1473.25,5892.75
1461.25,5872.25
1454.75,5862.0
1453.25,5865.5
1457.75,5872.25
1455.25,5871.25
1449.75,5870.75
1441.75,5862.25
1452.75,5870.5
1465.25,5881.0
1471.25,5885.75
1464.5,5886.5
1453.0,5874.5
1456.25,5874.0
1453.5,5867.75
1459.0,5860.0
1455.5,5853.75
1452.5,5856.25
1433.5,5832.5
1463.5,5860.0
1484.0,5886.0
1479.5,5885.75
1481.0,5883.5
1484.0,5873.0
1466.75,5859.75
1460.5,5859.0
1467.75,5872.75
1476.5,5879.0
1481.0,5875.5
1483.25,5870.5
1487.25,5874.75
1492.5,5868.75
1497.75,5859.25
1509.75,5872.75
1496.0,5881.25
1492.25,5879.0
1497.5,5888.25
1510.25,5891.75
1515.25,5894.0
1497.25,5882.75
1484.25,5868.75
1469.75,5857.25
1473.0,5856.75
1477.0,5867.25
1467.75,5863.75
1468.0,5866.75
1459.0,5858.25
1448.0,5847.75
1463.0,5864.25
1479.75,5891.5
1479.25,5890.0
1472.5,5868.0
1459.0,5860.5
1463.5,5871.75
1460.25,5859.25
1454.0,5850.5
1463.0,5847.5
1469.25,5855.25
1470.0,5865.5
1473.25,5870.25
1479.5,5871.75
1504.5,5886.75
1517.75,5899.75
1520.5,5900.25
1518.25,5888.0
1504.0,5878.5
1501.0,5882.25
1489.75,5870.5
1484.5,5871.75
1487.0,5875.75
1484.0,5879.0
1474.25,5878.25
1483.0,5875.0
1496.75,5873.0
1497.25,5874.25
1508.75,5878.25
1502.5,5871.75
1494.75,5875.75
1488.5,5874.25
1479.75,5864.5
1484.25,5870.75
1501.0,5877.75
1498.0,5877.5
1493.75,5875.25
1503.0,5884.75
1509.0,5896.75
1498.0,5881.25
1477.25,5857.0
1477.0,5847.0
1487.25,5858.5
1504.25,5866.25
1517.5,5878.75
1505.75,5869.75
1488.5,5855.5
1495.25,5863.5
1486.5,5863.75
